Date,O_Price_KRW,O_TR_KRW,AAPL_Price_KRW,AAPL_TR_KRW,005930.KS_Price_KRW,005930.KS_TR_KRW,S&P 500,KOSPI,Total_PR,Total_TR
2023-01-02,,,,,2604510.15625,2604510.15625,,2225.669921875,2604510.15625,2604510.15625
2023-01-03,6837235.227918066,6837235.227918066,1563442.6620783005,1563442.6620783005,2599817.1875,2599817.1875,3824.139892578125,2218.679931640625,11000495.077496367,11000495.077496367
2023-01-04,6972993.105674442,6972993.105674442,1590736.152424151,1590736.1524241513,2712444.140625,2712444.140625,3852.969970703125,2255.97998046875,11276173.398723593,11276173.398723593
2023-01-05,6798538.0207510665,6798538.020751066,1564023.388871029,1564023.388871029,2731215.8203125,2731215.8203125005,3808.10009765625,2264.64990234375,11093777.229934596,11093777.229934596
2023-01-06,6889301.461633528,6889301.461633528,1625525.0545656122,1625525.0545656122,2768758.59375,2768758.5937500005,3895.080078125,2289.969970703125,11283585.10994914,11283585.10994914
2023-01-09,6839677.478163643,6839677.478163642,1604887.1721360274,1604887.1721360274,2848536.1328125,2848536.1328125005,3892.090087890625,2350.18994140625,11293100.78311217,11293100.783112168
2023-01-10,6706877.01792717,6706877.017927169,1594540.5564941466,1594540.5564941468,2834457.6171875,2834457.6171875005,3919.25,2351.31005859375,11135875.191608816,11135875.191608816
2023-01-11,6906270.342136128,6906270.342136126,1629361.1063077115,1629361.1063077117,2839150.78125,2839150.7812500005,3969.610107421875,2359.530029296875,11374782.22969384,11374782.229693837
2023-01-12,6971908.964471146,6971908.9644711455,1630275.5577870086,1630275.5577870088,2839150.78125,2839150.7812500005,3983.169921875,2365.10009765625,11441335.303508155,11441335.303508155
2023-01-13,6920399.553709617,6920399.553709615,1643496.1903034337,1643496.190303434,2853229.1015625,2853229.1015625005,3999.090087890625,2386.090087890625,11417124.84557555,11417124.845575549
2023-01-16,6920399.553709617,6920399.553709615,1643496.1903034337,1643496.190303434,2867307.2265625,2867307.2265625,3999.090087890625,2399.860107421875,11431202.97057555,11431202.970575549
2023-01-17,7002504.374431446,7002504.374431444,1660001.4327295125,1660001.432729513,2862614.2578125,2862614.2578125,3990.969970703125,2379.389892578125,11525120.064973459,11525120.064973457
2023-01-18,6892846.334075928,6892846.334075926,1646150.1698303223,1646150.1698303225,2834457.6171875,2834457.6171875,3928.860107421875,2368.320068359375,11373454.12109375,11373454.121093748
2023-01-19,6821503.929480026,6821503.929480024,1648052.232043948,1648052.2320439483,2886078.3203125,2886078.3203125,3898.85009765625,2380.340087890625,11355634.481836474,11355634.481836472
2023-01-20,6901339.215549175,6901339.215549173,1671994.2170750163,1671994.2170750168,2900156.8359375,2900156.8359375005,3972.610107421875,2395.260009765625,11473490.268561691,11473490.26856169
2023-01-23,6946377.623487264,6946377.623487262,1708301.2377205119,1708301.2377205123,2900156.8359375,2900156.8359375005,4019.81005859375,2395.260009765625,11554835.697145276,11554835.697145274
2023-01-24,6959774.953833036,6959774.953833034,1724439.6372891963,1724439.6372891967,2900156.8359375,2900156.8359375005,4016.949951171875,2395.260009765625,11584371.427059732,11584371.42705973
2023-01-25,7000753.252560832,7000753.252560831,1721052.85767382,1721052.8576738206,2970549.0234375,2970549.023437501,4016.219970703125,2428.570068359375,11692355.133672152,11692355.133672152
2023-01-26,7068996.834856877,7068996.834856875,1746430.6097792275,1746430.609779228,2994013.0859375,2994013.0859375014,4060.429931640625,2468.64990234375,11809440.530573605,11809440.530573605
2023-01-27,7099053.3289616,7099053.328961599,1769266.5193858556,1769266.519385856,3031555.859375,3031555.8593750014,4070.56005859375,2484.02001953125,11899875.707722455,11899875.707722457
2023-01-30,7027380.106857512,7027380.10685751,1729661.1707950383,1729661.1707950388,2970549.0234375,2970549.0234375014,4017.77001953125,2450.469970703125,11727590.30109005,11727590.30109005
2023-01-31,7074189.638328552,7104853.988328552,1748885.7790374756,1748885.779037476,2881385.546875,2881385.5468750014,4076.60009765625,2425.080078125,11704460.964241028,11735125.31424103
2023-02-01,7085229.262168519,7115941.465407774,1763633.9215264097,1763633.9215264102,2862614.2578125,2862614.2578125014,4119.2099609375,2449.800048828125,11711477.441507429,11742189.644746685
2023-02-02,7022436.976373848,7052876.995132992,1813857.8759831563,1813857.8759831567,2979934.9609375,2979934.960937502,4179.759765625,2468.8798828125,11816229.813294504,11846669.83205365
2023-02-03,7011380.74597884,7041772.839514623,1862601.6377103329,1862601.6377103333,2979934.9609375,2979934.960937502,4136.47998046875,2480.39990234375,11853917.344626673,11884309.438162459
2023-02-06,7151234.896373749,7182233.212930953,1861837.430267334,1861837.4302673345,2890771.484375,2890771.4843750023,4111.080078125,2438.18994140625,11903843.811016083,11934842.127573289
2023-02-07,7195836.071969196,7227027.720360689,1919707.653285563,1919707.6532855632,2909542.578125,2909542.5781250023,4164.0,2451.7099609375,12025086.30337976,12056277.951771254
2023-02-08,7146343.980909931,7177321.096912547,1877027.4951575324,1877027.4951575326,2961163.4765625,2961163.4765625023,4117.85986328125,2483.639892578125,11984534.952629963,12015512.068632582
2023-02-09,7069811.159827746,7100456.530523531,1871656.7344728857,1871656.7344728857,2970549.0234375,2970549.0234375014,4081.5,2481.52001953125,11912016.917738132,11942662.288433919
2023-02-10,7159090.6434081495,7190123.01211675,1882327.2045183182,1885235.6696306227,2951777.9296875,2951777.9296875014,4090.4599609375,2469.72998046875,11993195.777613968,12027136.611434875
2023-02-13,7204412.6117436215,7235641.436692552,1921246.3521485962,1924214.952917875,2951777.9296875,2951777.9296875014,4137.2900390625,2452.699951171875,12077436.893579718,12111634.319297928
2023-02-14,7083697.309418395,7114402.872132341,1922295.476640761,1925265.6984576324,2965856.4453125,2965856.4453125023,4136.1298828125,2465.639892578125,11971849.231371656,12005525.015902476
2023-02-15,7154198.021888733,7185209.182647539,1947965.2783584595,1950975.1636953373,2918928.3203125,2918928.3203125023,4147.60009765625,2427.89990234375,12021091.620559692,12055112.666655378
2023-02-16,7208913.9557947405,7240162.292630758,1945027.91401539,1948033.2607036773,2989320.3125,2989320.3125000023,4090.409912109375,2475.47998046875,12143262.18231013,12177515.865834437
2023-02-17,7217600.001482293,7248885.9895488685,1938228.8949720562,1941223.7362021864,2937699.8046875,2937699.8046875023,4079.090087890625,2451.2099609375,12093528.70114185,12127809.530438557
2023-02-20,7217600.001482293,7248885.9895488685,1938228.8949720562,1941223.7362021864,2942392.578125,2942392.5781250023,4079.090087890625,2455.1201171875,12098221.47457935,12132502.303876057
2023-02-21,7158848.013146967,7189879.330130971,1896982.2315162234,1899913.3407440893,2914235.7421875,2914235.7421875023,3997.340087890625,2458.9599609375,11970065.98685069,12004028.413062563
2023-02-22,7245709.921262832,7277117.756843073,1916743.4204472974,1919705.063542201,2867307.2265625,2867307.2265625023,3991.050048828125,2417.679931640625,12029760.56827263,12064130.046947775
2023-02-23,7290852.505535772,7322456.019783791,1918632.4064395763,1921596.9682883725,2909542.578125,2909542.5781250023,4012.320068359375,2439.090087890625,12119027.490100348,12153595.566197166
2023-02-24,7143345.228810655,7174309.346181819,1877217.805540301,1880118.3758994318,2876693.1640625,2876693.1640625023,3970.0400390625,2423.610107421875,11897256.198413456,11931120.886143753
2023-02-27,7204826.67766558,7236057.29745788,1915474.9967064708,1918434.6799050344,2839150.78125,2839150.7812500023,3982.239990234375,2402.639892578125,11959452.45562205,11993642.758612916
2023-02-28,7168119.628837518,7232954.782640563,1915627.7319735847,1918587.6511700107,2843843.359375,2843843.3593750023,3970.14990234375,2412.85009765625,11927590.720186103,11995385.793185575
2023-03-01,7137472.220443608,7202030.170525209,1892992.5231360085,1895917.4676930325,2843843.359375,2843843.3593750023,3951.389892578125,2412.85009765625,11874308.102954617,11941790.997593243
2023-03-02,7115045.41446548,7179400.515614557,1877983.8367953897,1880885.5907825178,2853229.1015625,2853229.1015625023,3981.35009765625,2427.85009765625,11846258.35282337,11913515.207959577
2023-03-03,7188676.0759675875,7253697.1614347715,1951817.8563161194,1954833.6944376966,2839150.78125,2839150.7812500023,4045.639892578125,2432.070068359375,11979644.713533707,12047681.637122469
2023-03-06,7078495.503967907,7142520.013666046,1963317.1035760269,1966350.7096815086,2886078.3203125,2886078.320312503,4048.419921875,2462.6201171875,11927890.927856434,11994949.043660056
2023-03-07,7057388.944244385,7121222.546547449,1941161.8075561523,1944161.1805562675,2848536.1328125,2848536.1328125023,3986.3701171875,2463.35009765625,11847086.884613037,11913919.85991622
2023-03-08,7231782.829471817,7297193.81258833,1985903.762039058,1988972.2677666591,2829764.6484375,2829764.648437503,3992.010009765625,2431.909912109375,12047451.239948375,12115930.728792492
2023-03-09,7100705.3744087,7164930.770872204,1954132.1125554666,1957151.5265343743,2820378.90625,2820378.906250003,3918.320068359375,2419.090087890625,11875216.393214166,11942461.20365658
2023-03-10,6917624.310337566,6980193.751046687,1940332.135683298,1943330.2267215464,2792222.265625,2792222.265625003,3861.590087890625,2394.590087890625,11650178.711645864,11715746.243393235
2023-03-13,7044448.842303827,7108165.402266226,1957158.1915958226,1960182.2813002337,2815686.5234375,2815686.523437503,3855.760009765625,2410.60009765625,11817293.55733715,11884034.207003962
2023-03-14,6968202.753876336,7031229.673162232,1949898.0705919676,1952910.9423696545,2768758.59375,2768758.593750003,3919.2900390625,2348.969970703125,11686859.418218303,11752899.209281888
2023-03-15,6994531.033902336,7057796.09068778,1967375.489376951,1970415.366269725,2806300.9765625,2806300.9765625023,3891.929931640625,2379.719970703125,11768207.499841787,11834512.433520006
2023-03-16,6962657.062437572,7025633.8213221375,2015153.1542389467,2018266.8544665077,2810993.75,2810993.7500000023,3960.280029296875,2377.909912109375,11788803.966676518,11854894.425788647
2023-03-17,6792740.967422817,6854180.846801414,1988700.8127972856,1991773.6403688933,2876693.1640625,2876693.1640625033,3916.639892578125,2395.68994140625,11658134.944282603,11722647.65123281
2023-03-20,6889806.272184802,6952124.100633594,2028848.8627996296,2031983.724858375,2825071.6796875,2825071.6796875033,3951.570068359375,2379.199951171875,11743726.814671932,11809179.505179472
2023-03-21,6797862.767443433,6859348.973154357,2048826.7931456119,2051992.5239679217,2829764.6484375,2829764.6484375033,4002.8701171875,2388.35009765625,11676454.209026545,11741106.145559782
2023-03-22,6582812.740794383,6642353.833661899,2027841.7646404356,2030975.0705882914,2867307.2265625,2867307.2265625033,3936.969970703125,2416.9599609375,11477961.731997319,11540636.130812693
2023-03-23,6542250.131607056,6601424.338437299,2033844.044265747,2036986.6245952533,2923620.703125,2923620.703125004,3948.719970703125,2424.47998046875,11499714.878997803,11562031.666157557
2023-03-24,6675556.488068774,6735936.441813362,2031844.440652728,2034983.931308275,2956470.703125,2956470.703125004,3970.989990234375,2414.9599609375,11663871.631846502,11727391.076246642
2023-03-27,6683547.074352298,6743999.302405559,2020189.998825565,2023311.4816993743,2914235.7421875,2914235.742187504,3977.530029296875,2409.219970703125,11617972.815365363,11681546.526292438
2023-03-28,6737496.39759399,6798436.5936013395,2016764.3642388657,2019880.554016629,2951777.9296875,2951777.929687504,3971.27001953125,2434.93994140625,11706038.691520356,11770095.077305472
2023-03-29,6841305.690639652,6903184.834631872,2055378.4164234996,2058554.2704420786,2942392.578125,2942392.578125004,4027.81005859375,2443.919921875,11839076.685188152,11904131.683198955
